VmPeak,VmSize,VmHWM,VmRSS,VmPTE,VmSwap,Threads,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Unevictable,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,KernelStack,PageTables,Committed_AS
2394284,2394284,92048,91940,472,0,16,174448,674036,24436,596848,10340,435776,1155424,0,1636104,832,0,965792,305832,25732,132232,12408,22572,5470352
2394284,2394284,92048,91940,472,0,16,174448,674080,24468,596860,10340,435812,1156636,0,1636104,852,0,966976,305928,25732,132232,12408,22652,5470732
2394284,2394284,92048,91940,472,0,16,174448,674092,24468,596872,10340,435808,1157476,0,1636104,880,0,967752,305748,25732,132232,12408,22656,5470376
2394284,2394284,92048,91940,472,0,16,174196,673836,24468,596868,10340,435812,1152368,0,1636104,896,0,962736,305860,25732,132232,12408,22656,5470808
2394284,2394284,92048,91940,472,0,16,174452,674092,24468,596868,10340,435812,1155124,0,1636104,828,0,965508,305748,25732,132232,12408,22572,5472564
2394284,2394284,92048,91940,472,0,16,174452,674132,24492,596884,10340,435828,1152800,0,1636104,860,0,963112,305932,25732,132232,12408,22560,5471912
2394284,2394284,92048,91940,472,0,16,173976,673664,24492,597564,10340,435844,1154272,0,1636104,868,0,963948,306504,26404,132232,12448,22564,5474744
2394284,2394284,92048,91940,472,0,16,173976,673684,24492,597576,10340,435844,1155848,0,1636104,888,0,965496,306412,26396,132232,12440,22660,5474704
2394284,2394284,92048,91940,472,0,16,173724,673452,24492,597596,10340,435844,1157672,0,1636104,924,0,967300,306580,26396,132232,12416,22576,5476116
2394284,2394284,92048,91940,472,0,16,173248,672996,24492,597148,10340,435844,1156268,0,1636104,936,0,966400,305876,25928,132228,12448,22584,5477856
2394284,2394284,92048,91940,472,0,16,172996,672768,24500,597840,10340,435844,1156704,0,1636104,968,0,966072,306352,26600,132228,12432,22596,5479408
2394284,2394284,92048,91940,472,0,16,172748,672584,24524,597876,10340,435884,1158288,0,1636104,980,0,967628,306352,26600,132228,12448,22592,5479556
2394284,2394284,92048,91940,472,0,16,172748,672556,24524,597848,10340,435876,1156764,0,1636104,976,0,966128,306452,26600,132228,12448,22592,5479004
2394284,2394284,92048,91940,472,0,16,172300,672160,24524,597904,10340,435884,1158216,0,1636104,1096,0,967544,306352,26600,132228,12448,22588,5479480
2394284,2394284,92048,91940,472,0,16,172300,672180,24524,597920,10340,435884,1158772,0,1636104,1080,0,967932,306620,26600,132228,12448,22680,5480580
2394284,2394284,92048,91940,472,0,16,172076,671956,24532,597912,10340,435884,1161156,0,1636104,1076,0,970512,306528,26600,132228,12464,22600,5482676
2394284,2394284,92048,91940,472,0,16,172076,671936,24532,597892,10340,435884,1158668,0,1636104,1080,0,968032,306436,26600,132228,12464,22600,5481680
2394284,2394284,92048,91940,472,0,16,172076,671976,24532,597932,10340,435892,1155144,0,1636104,1092,0,964376,306436,26600,132228,12464,22600,5480424
2394284,2394284,92048,91940,472,0,16,172076,671944,24532,597912,10340,435884,1155980,0,1636104,1100,0,965336,306448,26600,132224,12464,22592,5480576
2394284,2394284,92200,92116,472,0,16,172076,671992,24532,597108,10340,435896,1155160,0,1636104,748,0,965300,305612,25760,132224,12440,22596,5481184
2394284,2394284,92200,92116,472,0,16,174920,674864,24556,592208,10340,435920,1151228,0,1636104,880,0,966244,300700,20856,132224,12432,22592,5477384
2394284,2394284,92200,92116,472,0,16,174972,674916,24560,592268,10340,435936,1150696,0,1636104,880,0,965684,300740,20904,132192,12448,22592,5475988
2394284,2394284,92200,92116,472,0,16,175908,675904,24560,592320,10340,435944,1149728,0,1636104,904,0,964668,300740,20904,132192,12424,22592,5476152
2394284,2394284,92200,92116,472,0,16,176188,676184,24560,592332,10340,435940,1159356,0,1636104,904,0,974300,300676,20916,132192,12432,22596,5477844
2394284,2394284,92200,92116,472,0,16,176188,676184,24560,592332,10340,435936,1160588,0,1636104,904,0,975452,300932,20916,132192,12440,22692,5477844
2394284,2394268,92200,92120,472,0,15,175964,675964,24572,592324,10340,435940,1160448,0,1636104,908,0,975436,300936,20916,132192,12400,22608,5477696
2394284,2394268,92200,92120,472,0,15,175964,675984,24572,592344,10340,435948,1158936,0,1636104,928,0,973828,300720,20916,132192,12408,22568,5477944
2394284,2394268,92200,92120,472,0,15,175964,675968,24576,592324,10340,435952,1159288,0,1636104,924,0,974180,300720,20916,132192,12416,22616,5478868
2394284,2394268,92200,92120,472,0,15,175964,675964,24576,592320,10340,435956,1160488,0,1636104,936,0,975360,300756,20916,132192,12424,22612,5479916
2394284,2394268,92200,92120,472,0,15,175964,675960,24576,592316,10340,435952,1154148,0,1636104,460,0,969116,300768,20916,132192,12424,22588,5475240
2394284,2394268,92200,92120,472,0,15,176244,676276,24604,592324,10340,435980,1155388,0,1636104,632,0,970300,300836,20916,132192,12424,22592,5476444
2394284,2394268,92200,92120,472,0,15,176348,676376,24604,596548,10340,435984,1160808,0,1636104,676,0,971452,305064,25144,132192,12400,22596,5480672
2394284,2394268,92200,92120,472,0,15,175876,675908,24604,597980,10344,435984,1165052,0,1636104,676,0,974324,306576,26572,132192,12424,22604,5484620
2394284,2394268,92200,92120,472,0,15,175652,675748,24604,598044,10344,436032,1158220,0,1636104,840,0,967584,306324,26572,132200,12416,22604,5483412
2394284,2394268,92200,92120,472,0,15,175708,675784,24620,598004,10344,436564,1155168,0,1636104,848,0,965012,306388,26572,132200,12424,22604,5482208
2394284,2394268,92200,92120,472,0,15,175484,675592,24644,598044,10344,436600,1156464,0,1636104,880,0,966260,306428,26604,132200,12400,22600,5482280
2394284,2394268,92200,92120,472,0,15,175260,675368,24644,598044,10344,436596,1158128,0,1636104,884,0,967824,306504,26604,132204,12392,22604,5483324
2394284,2394268,92200,92120,472,0,15,175260,675416,24644,598092,10344,436604,1158356,0,1636104,888,0,968104,306516,26604,132208,12384,22688,5483780
2394284,2394268,92200,92120,472,0,15,174812,674968,24644,598092,10344,436600,1159064,0,1636104,876,0,968812,306672,26604,132208,12376,22612,5484928
2394284,2394268,92200,92120,472,0,15,174588,674768,24648,598112,10344,436612,1158484,0,1636104,920,0,968208,306504,26604,132212,12376,22604,5484588
2394284,2394268,92200,92120,472,0,15,174364,674508,24656,598068,10344,436616,1157820,0,1636104,916,0,967576,306504,26604,132216,12352,22608,5486092
2394284,2394268,92200,92120,472,0,15,174140,674332,24656,598116,10344,436624,1158404,0,1636104,920,0,968032,306432,26604,132216,12368,22608,5485812
2394284,2394268,92200,92120,472,0,15,173892,674088,24656,598120,10344,436628,1159216,0,1636104,924,0,968968,306428,26604,132216,12368,22696,5486248
2394284,2394268,92200,92120,472,0,15,173668,673864,24656,598120,10344,436628,1159248,0,1636104,924,0,968972,306520,26604,132224,12368,22608,5486940
2394284,2394268,92200,92120,472,0,15,173668,673816,24656,598072,10344,436608,1161072,0,1636104,912,0,970788,306504,26604,132224,12352,22612,5487984
2394284,2394268,92200,92120,472,0,15,173668,673900,24680,598132,10344,436644,1160664,0,1636104,924,0,970224,306672,26604,132224,12352,22608,5488320
2394284,2394268,92200,92120,472,0,15,173668,673896,24680,598128,10344,436644,1161524,0,1636104,964,0,971240,306688,26604,132224,12344,22612,5488252
2394284,2394268,92200,92120,472,0,15,173444,673720,24680,598176,10344,436652,1163000,0,1636104,968,0,972764,306672,26604,132224,12352,22612,5489432
2394284,2394268,92200,92120,472,0,15,173444,673676,24680,596788,10344,436644,1162268,0,1636104,968,0,973288,305076,25260,132196,12360,22612,5489204
2394284,2394268,92200,92120,472,0,15,173220,673500,24680,597508,10344,436644,1162740,0,1636104,960,0,973076,305748,25932,132196,12360,22700,5489952
2394284,2394268,92200,92120,472,0,15,172772,673040,24688,597488,10344,436652,1164328,0,1636104,984,0,974736,306000,25932,132196,12368,22696,5490952
2394284,2394268,92200,92120,472,0,15,172548,672824,24688,597496,10344,436652,1163048,0,1636104,988,0,973332,305832,25932,132196,12352,22612,5490948
2394284,2394268,92200,92120,472,0,15,172324,672596,24688,597492,10344,436652,1172460,0,1636104,988,0,982832,305944,25932,132204,12336,22636,5495712
2394284,2394268,92200,92120,472,0,15,171848,672188,24688,597564,10344,436664,1173464,0,1636104,836,0,983748,305748,25932,132208,12336,22636,5495924
2394284,2394268,92200,92120,472,0,15,170924,671212,24696,597500,10344,436660,1174632,0,1636104,840,0,984944,305764,25932,132208,12352,22636,5495944
2394284,2394268,92200,92120,472,0,15,170700,671056,24696,597568,10344,436664,1173588,0,1636104,880,8,983880,305748,25932,132208,12336,22636,5496552
2394284,2394268,92200,92120,472,0,15,170700,671104,24720,597592,10344,436700,1174920,0,1636104,972,0,985104,306000,25932,132212,12376,22724,5497960
2394284,2394268,92200,92120,472,0,15,170700,671076,24720,597564,10344,436692,1172332,0,1636104,984,0,982552,305860,25932,132216,12336,22624,5495856
2394284,2394268,92200,92120,472,0,15,170476,670848,24720,597560,10344,436692,1173484,0,1636104,116,0,983844,305776,25932,132220,12360,22632,5495276
2394284,2394268,92200,92120,472,0,15,170252,670624,24720,596576,10344,436692,1173284,0,1636104,564,0,984580,302640,24948,132220,12360,22628,5494460
2394284,2394268,92200,92120,472,0,15,170028,670408,24720,594460,10344,436708,1171064,0,1636104,748,0,984456,302648,22824,132224,12336,22628,5493360
2394284,2394268,92200,92120,472,0,15,169804,670192,24728,594460,10344,436716,1167040,0,1636104,788,0,980452,302816,22824,132224,12336,22628,5494760
2394284,2394268,92200,92120,472,0,15,169804,670216,24752,594460,10344,436748,1165316,0,1636104,788,0,978692,302892,22824,132224,12360,22628,5493264
2394284,2394268,92200,92120,472,0,15,169580,669992,24752,594460,10344,436744,1165984,0,1636104,768,0,979388,302724,22824,132224,12352,22632,5493408
2394284,2394268,92200,92120,472,0,15,169580,669992,24752,595132,10344,436744,1168152,0,1636104,824,0,980916,303340,23496,132224,12352,22628,5494692
2394284,2394268,92200,92120,472,0,15,169580,670044,24752,595184,10344,436760,1168428,0,1636104,868,0,981132,303592,23496,132208,12360,22716,5495080
2394284,2394268,92200,92120,472,0,15,169580,670000,24752,594468,10344,436756,1168232,0,1636104,868,0,981620,302668,22824,132208,12344,22716,5495516
2394284,2394268,92200,92120,472,0,15,169356,669784,24760,594468,10344,436768,1167596,0,1636104,872,0,981004,302724,22824,132208,12344,22636,5495144
2394284,2394268,92200,92120,472,0,15,169108,669588,24760,594520,10344,436776,1167444,0,1636104,880,0,980772,302724,22824,132208,12352,22636,5495196
2394284,2394268,92200,92120,472,0,15,169108,669572,24792,594472,10344,436804,1168660,0,1636104,876,8,982064,302640,22824,132208,12352,22636,5496664
2394284,2394268,92200,92120,472,0,15,169108,669624,24792,594524,10344,436812,1169808,0,1636104,884,0,983228,302640,22824,132208,12352,22716,5496260
2394284,2394268,92200,92120,472,0,15,168604,669072,24792,594476,10344,436800,1169592,0,1636104,880,0,983112,302808,22824,132208,12336,22636,5497600
2394284,2394268,92200,92120,472,0,15,167904,668372,24792,594476,10344,436804,1162892,0,1636104,908,0,976264,302668,22824,132208,12368,22636,5494208
2394284,2394268,92200,92120,472,0,15,167680,668148,24792,594476,10344,436804,1163732,0,1636104,908,0,977184,302836,22824,132208,12336,22632,5494636
2394284,2394268,92200,92120,472,0,15,167204,667708,24824,594480,10344,436836,1164928,0,1636104,916,0,978340,302724,22824,132208,12352,22636,5494436
2394284,2394268,92200,92120,472,0,15,167204,667708,24824,594480,10344,436836,1165352,0,1636104,916,0,978748,302724,22824,132208,12368,22636,5494932
2394284,2394268,92200,92120,472,0,15,166980,667536,24824,594532,10344,436844,1164716,0,1636104,996,0,978148,302724,22824,132208,12360,22720,5495556
2394284,2394268,92200,92120,472,0,15,166504,667012,24824,594484,10344,436836,1166208,0,1636104,992,0,979620,302724,22824,132208,12368,22636,5495672
2394284,2394268,92200,92120,472,0,15,166056,666564,24824,594484,10344,436836,1166572,0,1636104,272,0,979928,302732,22824,132208,12352,22640,5495708
2394284,2394268,92200,92120,472,0,15,165804,666328,24848,594476,10344,436860,1167412,0,1636104,580,0,980844,302640,22824,132212,12352,22720,5496180
2394284,2394268,92200,92120,472,0,15,165080,665664,24848,594536,10344,436868,1168888,0,1636104,688,0,982200,302724,22824,132216,12328,22636,5496916
2394284,2394268,92200,92120,472,0,15,164828,665376,24848,594504,10344,436864,1171948,0,1636104,764,0,985336,302908,22828,132220,12328,22720,5499548
2394284,2394268,92200,92120,472,0,15,164604,665204,24848,594556,10344,436864,1173532,0,1636104,772,0,986852,302672,22828,132220,12344,22740,5499912
2394284,2394268,92200,92120,472,0,15,164380,664988,24848,594564,10344,436872,1175500,0,1636104,800,0,988800,302732,22828,132228,12352,22660,5501168
2394284,2394268,92200,92120,472,0,15,164380,664984,24856,594552,10344,436872,1176492,0,1636104,828,0,989812,302648,22828,132228,12336,22652,5501172
2394284,2394268,92200,92120,472,0,15,163904,664472,24856,594564,10344,436872,1174524,0,1636104,844,0,987896,302624,22828,132204,12312,22608,5498044
2394284,2394268,92200,92120,472,0,15,163904,664484,24856,593856,10344,436872,1174756,0,1636104,864,0,988884,301984,22156,132204,12328,22632,5497408
2394284,2394268,92200,92120,472,0,15,163904,664484,24856,594528,10344,436888,1175844,0,1636104,868,0,989212,302728,22828,132196,12328,22632,5497676
2394284,2394268,92200,92120,472,0,15,163428,664016,24856,594536,10344,436892,1175964,0,1636104,880,0,989364,302728,22828,132196,12328,22628,5497680
2394284,2394268,92200,92120,472,0,15,162952,663560,24880,594532,10344,436920,1176132,0,1636104,920,0,989520,302736,22828,132204,12328,22716,5499112
2394284,2394268,92200,92120,472,0,15,162728,663336,24880,594532,10344,436932,1171124,0,1636104,976,0,984512,302644,22828,132212,12304,22644,5499820
2394284,2394268,92200,92120,472,0,15,162252,662876,24880,594548,10344,436932,1172612,0,1636104,1068,0,986016,302896,22828,132212,12328,22644,5501252
2394284,2394268,92200,92120,472,0,15,162028,662652,24880,594548,10344,436932,1170268,0,1636104,1068,0,983724,302820,22828,132212,12304,22560,5499996
2394284,2394268,92200,92120,472,0,15,162028,662648,24880,595216,10344,436928,1172808,0,1636104,1068,0,985576,303408,23500,132216,12344,22644,5501520
2394284,2394268,92200,92120,472,0,15,161552,662260,24920,595264,10344,436972,1172756,0,1636104,1112,0,985500,303400,23500,132220,12320,22644,5501608
2394284,2394268,92200,92120,472,0,15,161304,662008,24920,595260,10344,436976,1173648,0,1636104,1112,0,986412,303344,23500,132220,12344,22724,5501644
2394284,2394268,92200,92120,472,0,15,161304,662008,24920,595260,10344,436980,1173704,0,1636104,1112,0,986292,303568,23500,132220,12344,22724,5501992
2394284,2394268,92200,92120,472,0,15,161052,662348,24920,595936,10344,439444,1175180,0,1636104,1132,0,989664,304996,23500,132220,12336,22644,5505328
2394284,2394268,92200,92120,472,0,15,160828,662168,24920,595296,10344,439516,1175716,0,1636104,544,0,990864,304292,22900,132228,12344,22660,5504744
2394284,2394268,92200,92120,472,0,15,160352,661720,24944,595972,10344,439540,1175244,0,1636104,740,0,989784,305040,23572,132232,12344,22744,5503748
2394284,2394268,92200,92120,472,0,15,159876,661248,24944,595976,10344,439552,1175948,0,1636104,772,0,990432,305208,23572,132232,12344,22660,5505148
2394284,2394268,92200,92120,472,0,15,159652,661072,24944,596024,10344,439564,1177424,0,1636104,776,0,991924,305208,23572,132232,12336,22664,5505188
2394284,2394268,92200,92120,472,0,15,159148,660568,24944,596024,10344,439564,1178232,0,1636104,784,0,992720,305124,23572,132232,12336,22664,5505220
2394284,2394268,92200,92120,472,0,15,158392,659820,24944,595360,10344,439580,1177000,0,1636104,852,0,992116,304536,22900,132232,12344,22748,5505656
2394284,2394268,92200,92120,472,0,15,157888,659308,24984,595312,10344,439612,1177092,0,1636104,924,0,992260,304396,22900,132232,12336,22660,5505752
2394284,2394268,92200,92120,472,0,15,157664,659088,24984,595316,10348,439612,1176316,0,1636104,928,0,991488,304292,22900,132232,12344,22660,5506252
2394284,2394268,92200,92120,472,0,15,157664,659140,24984,595368,10348,439620,1177068,0,1636104,936,0,992276,304284,22900,132236,12336,22664,5506364
2394284,2394268,92200,92120,472,0,15,166736,668160,24984,595316,10348,439612,1160004,0,1636104,1020,0,975172,304284,22900,132236,12320,22660,5486696
2394284,2394268,92200,92120,472,0,15,166584,668012,24984,595320,10348,439612,1160664,0,1636104,1032,0,975812,304368,22900,132236,12344,22660,5487824
2394284,2394268,92200,92120,472,0,15,166584,668012,24992,595992,10348,439612,1161592,0,1636104,1048,0,976212,305208,23572,132236,12336,22664,5488836
2394284,2394268,92200,92120,472,0,15,166332,667768,24992,595992,10348,439620,1167360,0,1636104,1048,0,981948,305236,23572,132236,12336,22752,5491628
2394284,2394268,92200,92120,472,0,15,166332,667768,24992,595996,10348,439620,1173188,0,1636104,1052,0,987628,304956,23572,132236,12352,22768,5493916
2394284,2394268,92200,92120,472,0,15,165632,667076,24992,595328,10348,439620,1173144,0,1636104,1052,0,988332,304368,22900,132236,12328,22688,5493012
2394284,2394268,92200,92120,472,0,15,165632,667072,24992,595324,10348,439620,1173588,0,1636104,1052,0,988816,304284,22900,132236,12344,22684,5493400
2394284,2394268,92200,92120,472,0,15,165184,666644,25032,595304,10348,439644,1174736,0,1636104,1056,8,989904,304368,22900,132240,12328,22772,5493420
2394284,2394268,92200,92120,472,0,15,165184,666676,25032,594664,10348,439676,1174432,0,1636104,1068,0,990216,303612,22228,132240,12344,22684,5492768
2394284,2394268,92200,92120,472,0,15,165184,666672,25032,594664,10348,439672,1173312,0,1636104,1072,0,989092,303696,22228,132236,12344,22772,5493940
2394284,2394268,92200,92120,472,0,15,165184,666700,25032,594692,10348,439676,1174940,0,1636104,1132,0,990684,303696,22228,132236,12336,22692,5493648
2394284,2394268,92200,92120,472,0,15,164960,666492,25032,594708,10348,439688,1171976,0,1636104,1156,0,987748,303724,22228,132240,12360,22748,5489860
2394284,2394268,92200,92120,472,0,15,164736,666276,25040,594708,10348,439728,1172484,0,1636104,1180,0,988424,303696,22228,132240,12336,22668,5489548
2394284,2394268,92200,92120,472,0,15,164484,666096,25064,595428,10348,439760,1173972,0,1636104,1184,0,989068,304292,22900,132244,12352,22664,5490584
2394284,2394268,92200,92120,472,0,15,164008,665660,25064,595468,10348,439772,1175388,0,1636104,1220,0,990464,304284,22900,132244,12352,22748,5491664
2394284,2394268,92200,92120,472,0,15,163504,665160,25064,595472,10348,439784,1169252,0,1636104,1224,0,984364,304396,22900,132244,12352,22668,5493416
2394284,2394268,92200,92120,472,0,15,163504,665160,25064,595472,10364,439788,1166508,0,1636104,1224,0,981568,304380,22900,132244,12352,22660,5491052
2394284,2394268,92200,92120,472,0,15,163504,665160,25064,595472,10364,439788,1166292,0,1636104,1224,0,981400,304368,22900,132244,12360,22660,5490672
2394284,2394268,92200,92120,472,0,15,164288,665960,25072,590064,10364,439796,1160876,0,1636104,1232,0,981432,298896,17484,132244,12320,22656,5485948
2394284,2394268,92200,92120,472,0,15,163816,665492,25072,590076,10364,439880,1161964,0,1636104,1240,0,982540,298960,17492,132228,12288,22656,5485624
2394284,2394268,92200,92120,472,0,15,166000,667688,25072,590468,10364,439872,1158532,0,1636104,1252,0,978648,299340,17872,132228,12288,22736,5486424
2394284,2394268,92200,92120,472,0,15,166032,667700,25096,590424,10364,439908,1159364,0,1636104,680,44,979488,299352,17872,132228,12304,22732,5485316
2394284,2394268,92200,92120,472,0,15,166212,667928,25096,590484,10364,439920,1160032,0,1636104,852,0,980332,299352,17884,132228,12288,22648,5485028
2394284,2394268,92200,92120,472,0,15,166544,668232,25096,590456,10364,439924,1161316,0,1636104,884,0,981528,299268,17884,132228,12296,22644,5485328
2394284,2394268,92200,92120,472,0,15,166336,668012,25096,590444,10364,439912,1161068,0,1636104,1008,0,981300,299360,17884,132228,12288,22644,5486536
2394284,2394268,92200,92120,472,0,15,166112,667836,25096,590492,10364,439920,1160616,0,1636104,1100,0,980748,299352,17884,132228,12280,22732,5486636
2394284,2394268,92200,92120,472,0,15,166368,668040,25120,594104,10364,439908,1167128,0,1636104,1068,0,983776,302956,21488,132228,12312,22660,5490464
2394284,2394268,92200,92120,472,0,15,166144,667892,25120,594720,10364,439940,1168780,0,1636104,1072,0,984556,303676,22196,132228,12320,22652,5492188
