Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Cluster
"-6,095352468","-5,594998786","2,0345387557","-0,091202898","0,2915799252","0,4606407536",1
"-6,172975404","-5,593619418","2,0189145854","-0,094383984","0,2382886511","0,4390867675",1
"-6,182293313","-5,623874743","2,0540538794","-0,078284282","0,27187081","0,433780845",1
"-6,165022565","-5,631193346","2,0555564149","-0,059186191","0,2628054477","0,448092746",1
"-6,084857061","-5,63263635","2,0774204638","-0,072831009","0,3205733321","0,4491842382",1
"-6,134501007","-5,572263307","2,0035113961","-0,107710652","0,1936720979","0,4323957735",1
"-6,22603289","-5,667857762","2,1199498154","-0,043574997","0,348576761","0,4258649339",1
"-6,184113528","-5,544871282","1,9997038478","-0,103511927","0,2000989199","0,4318263676",1
"-6,183758661","-5,613961623","2,0707336277","-0,070800921","0,2692109435","0,4213398342",1
"-6,198915062","-5,67816101","2,1366140319","-0,041908461","0,3380596641","0,4159651878",1
"-6,111539212","-5,637000426","2,1315012224","-0,038385093","0,3524087844","0,4201107742",1
"-6,181544034","-5,679648761","2,1518444229","-0,027187261","0,3252040975","0,3908858674",1
"-6,176760334","-5,670583466","2,0309246284","-0,186833492","0,3206274879","0,5778589141",1
"-6,079474777","-5,649649992","2,0797180824","-0,125658171","0,3456522188","0,5173036064",1
"-6,104920944","-5,556315903","1,9869953211","-0,152500468","0,1675346903","0,4679307742",1
"-5,995669267","-5,557264009","2,0316585668","-0,137735348","0,2048099827","0,4646891181",1
"-5,976900702","-5,631332039","2,0994873538","-0,102503549","0,2849788973","0,4573419074",1
"-6,038065869","-5,666346045","2,1273563447","-0,086008583","0,2595944609","0,4222998235",1
"-6,014376055","-5,608859074","2,0627964414","-0,108584451","0,1803184316","0,4150634625",1
"-6,047282631","-5,524561219","1,9476128619","-0,151145537","0,0392231842","0,4054684471",1
"-6,036615337","-5,607257453","1,9295520293","-0,010334188","0,2483484142","0,3458045291",1
"-6,039073812","-5,592357622","2,0246874984","-0,118592452","0,1148973465","0,3983659858",1
"-6,037285596","-5,593828491","2,0295442476","-0,116046263","0,1083862248","0,3913508079",1
"-5,944673865","-5,584545377","2,0622468742","-0,104802731","0,1644711771","0,4029051865",1
"-6,009826527","-5,466893845","1,9415677263","-0,13989037","0,02408686","0,3858786349",1
"-6,022714302","-5,556461273","2,0641144759","-0,082934885","0,1107356408","0,3514296781",1
"-6,087142","-5,458154616","1,9405519777","-0,12855034","-0,043636689","0,3391559201",1
"-6,042062335","-5,598278505","2,2188849647","-0,15904775","0,0563422896","0,4006028758",1
"-6,005296345","-5,499122945","2,1323654531","-0,193715517","-0,051411855","0,3949465093",1
"-5,951848364","-5,595236771","2,2509322278","-0,146051891","0,1036859742","0,4057451743",1
"-5,956375354","-5,589873883","2,2591387996","-0,149474219","0,1007334404","0,4072083311",1
"-6,046895228","-5,524501714","2,2823307306","-0,180223484","-0,014041626","0,379363877",1
"-6,047401192","-5,615770968","2,1879384927","-0,173800385","0,1998096656","0,4793722433",1
"-5,975335432","-5,56878773","2,3247861683","-0,243239937","0,111726295","0,5071955737",1
"-6,041282826","-5,571255311","2,3201276854","-0,24265373","0,0465174696","0,4738086727",1
"-6,014600935","-5,546757508","2,2950083876","-0,25555921","0,0084270983","0,471619286",1
"-6,001741285","-5,55348136","2,2993545947","-0,252139146","0,003980795","0,4645704119",1
"-5,928828482","-5,595302782","2,272435395","-0,115094312","0,2136651346","0,4102533826",1
"-5,98579019","-5,566821967","2,2267757385","-0,117428958","0,1144889616","0,368014365",1
"-5,99542869","-5,597427705","2,2564718358","-0,100693102","0,1522625681","0,3648915003",1
"-5,975007355","-5,56623456","2,2287759669","-0,112967097","0,1185369006","0,3647018646",1
"-6,22140692","-5,375802201","2,0432614225","-0,138474086","0,1299866532","0,4312667053",1
"-6,243152138","-5,470158959","2,1476418606","-0,094084411","0,2302538174","0,4198112844",1
"-6,230454647","-5,41546103","2,2182651321","-0,215632436","0,0655996818","0,4743114814",1
"-6,09659596","-5,439639547","2,2569100013","-0,211151557","0,1062022005","0,4842039922",1
"-6,043949085","-5,534502408","2,3303788163","-0,175487032","0,1738054214","0,4688187045",1
"-6,077283175","-5,467116612","2,131883625","-0,114567421","0,1371752408","0,3950467499",1
"-6,094005759","-5,533659924","2,19384334","-0,084540009","0,2043642339","0,3879829176",1
"-5,981320862","-5,467404869","2,1635120826","-0,091298404","0,1805081275","0,4274069655",1
"-6,075251052","-5,555339819","2,1124395548","0,026811191","0,3278250429","0,3249879896",1
"-6,003095918","-5,548959388","2,1323520957","0,0291568192","0,3868748417","0,35004893",1
"-6,052387962","-5,523215009","2,0905556468","0,0230076449","0,288441842","0,3121741978",1
"-6,062503996","-5,593240811","2,2000279777","0,0723345752","0,4363906341","0,3194331306",1
"-6,098398791","-5,504749638","2,0889699468","0,0311795115","0,2739639282","0,2963179351",1
"-6,111257478","-5,548978017","2,2507276523","-0,045472317","0,2130194042","0,3418098274",1
"-6,015918251","-5,552054681","2,2814186474","-0,034735164","0,2594107901","0,3492027343",1
"-6,129226763","-5,529072553","2,2561671925","-0,039899304","0,2198957155","0,3382843063",1
"-6,163013241","-5,513273904","2,2492212157","-0,040415868","0,2245678279","0,3431359009",1
"-6,175230662","-5,543349908","2,2806746046","-0,025842701","0,2602437894","0,3412047452",1
"-6,12221861","-5,545859667","1,3548303807","0,7711650319","1,1195547619","-0,086791602",1
"-6,075406919","-5,43678814","1,2314715748","0,7129992404","0,965390804","-0,085183134",1
"-6,05021857","-5,398318723","1,2743397895","0,6542952793","0,9671736092","-0,015976212",1
"-6,089529436","-5,498032415","1,2957846756","0,6806082987","1,0377648816","0,2092350985",1
"-6,137135878","-5,432577159","1,2236585895","0,5761310389","0,9405494311","0,0624316888",1
"-6,13970144","-5,468115517","1,2549487559","0,5974429447","0,9691279921","0,0495071303",1
"-6,124080836","-5,427165794","1,2378131566","0,6043095072","0,9213495671","0,0200916861",1
"-6,032995607","-5,385255504","1,2347919301","0,6103541897","0,9368846559","0,0218485919",1
"-6,123000992","-5,419639751","1,8527528821","0,0821727117","0,3385926912","0,2906362713",1
"-6,130129308","-5,43495602","1,9869144501","-0,016237827","0,2293807616","0,339901993",1
"-6,145992647","-5,440290315","1,9767338353","-0,001799659","0,3267375592","0,3788077614",1
"-6,159923857","-5,391731391","2,0273217051","-0,113419331","0,156926239","0,4206249289",1
"-6,141764736","-5,396978679","2,0519633584","-0,132670744","0,1285497171","0,4261181151",1
"-6,155132759","-5,462102232","2,1091814388","-0,099578633","0,2044369447","0,4204903312",1
"-5,948678282","-5,401061632","1,9417707258","-0,042997191","0,2128856181","0,369530829",1
"-6,030462751","-5,502037539","2,0278738476","-0,001367088","0,2659338223","0,3391293065",1
"-6,024478911","-5,504306729","2,0319411624","-0,001669895","0,2614330864","0,3363774958",1
"-6,003131613","-5,461198756","1,9652320636","-0,031890117","0,178722794","0,3365343569",1
"-5,993559436","-5,482040436","1,8724939387","0,0772619742","0,3112028309","0,2819320083",1
"-5,962103108","-5,463516968","1,9353587679","-0,036586522","0,1375237503","0,3232344539",1
"-5,947690948","-5,470478672","1,9481481698","-0,033391951","0,1274009682","0,3120337011",1
"-5,942930813","-5,400712129","1,8877499572","-0,065334202","0,0504046577","0,3161065986",1
"-5,961445235","-5,448393835","1,9666374694","-0,039101792","0,1240540953","0,3144905289",1
"-5,946765066","-5,461032229","1,9610706887","-0,047257498","0,1287584323","0,3255084271",1
"-5,936198489","-5,457906778","1,9771254192","-0,045954092","0,1232459956","0,3187467138",1
"-5,829037734","-5,420067702","1,9831039596","-0,05115423","0,1403206656","0,3328783633",1
"-5,936630659","-5,357069187","2,0091818101","-0,16924623","-0,068840214","0,3666135487",1
"-5,829702789","-5,399435228","2,0869634197","-0,14152366","0,0078586998","0,3633246884",1
"-5,94651414","-5,382763981","2,0623995456","-0,143891554","-0,046179739","0,3422860196",1
"-5,935938119","-5,353881235","2,032763167","-0,157902694","-0,087036667","0,3407559898",1
"-5,892681717","-5,300684835","1,9742655416","-0,186182856","-0,156517179","0,3437624257",1
"-5,918112747","-5,397002352","2,0719483559","-0,140266466","-0,05658575","0,331805789",1
"-5,882107961","-5,304306751","1,9814129528","-0,186307764","-0,162707545","0,3403784284",1
"-5,911015754","-5,41313212","2,0041157058","-0,264072009","-0,041089225","0,4834322308",1
"-5,876378989","-5,330470191","1,9648434669","-0,241940537","-0,131445192","0,4192698199",1
"-5,89127963","-5,415848206","2,0770110795","-0,181414871","-0,03358359","0,3887034407",1
"-5,883769549","-5,437056561","1,9887151144","-0,07230876","0,0901135747","0,3300875972",1
"-5,852240916","-5,35779647","2,0283979341","-0,212074179","-0,111471123","0,3899198494",1
"-5,861878084","-5,391035641","2,0508774085","-0,209265945","-0,060617188","0,4103473237",1
"-5,858219046","-5,354084958","2,0201729072","-0,224430782","-0,093952916","0,4143347518",1
"-5,832623167","-5,330441079","1,9905848588","-0,236923683","-0,129553923","0,4134835464",1
"-5,782837854","-5,287520766","1,9859416903","-0,227504754","-0,155859432","0,391808258",1
"-5,791274956","-5,322037905","1,6668341966","0,078476106","0,1703878762","0,2218274116",1
"-5,757805485","-5,336764078","2,0397239051","-0,212044886","-0,141192121","0,3744158776",1
"-5,700851352","-5,3260905","2,0976096654","-0,175450131","-0,167550518","0,311626514",1
"-5,719740848","-5,447561643","2,1012706234","-0,022862184","0,0611154073","0,2460169666",1
"-5,725313709","-5,513120981","2,1749183808","0,0055857252","0,1278579892","0,2392924354",1
"-5,689749694","-5,421620377","2,0792617417","-0,036032528","0,0241461681","0,2445819638",1
"-5,722221111","-5,466494649","2,0223451879","0,0854677279","0,1741731661","0,1810840473",1
"-5,782171333","-5,471179563","2,0163392234","0,0887663248","0,1132369538","0,1468723054",1
"-5,64620891","-5,518129477","2,1396005898","0,1424997132","0,2774714521","0,1555611329",1
"-5,683630673","-5,445826454","2,1541798634","0,0060545581","0,0257209262","0,1890541189",1
"-5,633286059","-5,422053841","2,1809885892","0,0090842656","0,0847461631","0,2124233959",1
"-5,637128002","-5,384881152","2,1427694383","-0,00421477","0,0550856473","0,2169206879",1
"-5,613102284","-5,361683896","2,1123497529","-0,014175329","0,0172113272","0,2120213436",1
