r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
3,0,250432,61536,17008,451152,0,0,0,0,6980,769,3,85,13,0,0
4,0,250432,61536,17008,451152,0,0,0,0,7751,875,4,85,11,0,0
4,0,250432,81940,16984,427216,0,0,0,0,6873,814,4,89,8,0,0
1,0,250432,77436,16992,427208,0,0,0,16,6776,716,1,84,14,0,0
1,0,250432,77436,16992,427220,0,0,0,0,7290,819,3,86,11,0,0
1,0,250432,77436,16992,427220,0,0,0,0,7432,818,5,83,13,0,0
0,0,250432,77436,16992,427224,0,0,0,0,7591,917,4,84,12,0,0
1,0,250432,77436,16992,427228,0,0,0,0,8042,764,3,89,9,0,0
3,0,250432,74524,16992,427228,0,0,0,0,7825,778,4,86,11,0,0
1,0,250432,71612,17000,427228,0,0,0,16,7351,720,1,86,13,0,0
1,0,250432,71612,17000,427232,0,0,0,0,7120,707,0,84,16,0,0
2,0,250432,71612,17000,427232,0,0,0,144,7524,718,3,83,14,0,0
1,0,250432,71612,17000,427236,0,0,0,0,6950,748,1,83,16,0,0
1,0,250432,71612,17000,427236,0,0,0,0,7474,717,1,86,12,0,0
3,0,250432,71612,17008,427240,12,0,12,16,7170,818,1,88,9,3,0
6,0,250432,71612,17008,427240,0,0,0,0,7013,703,3,83,14,0,0
12,0,250432,71612,17008,427240,0,0,0,56,7128,974,20,79,1,0,0
1,0,250432,71612,17008,427244,0,0,0,0,7717,715,4,82,14,0,0
2,0,250432,71612,17008,427244,0,0,0,0,7592,693,2,82,17,0,0
0,0,250432,69820,17016,427236,0,0,0,28,6567,530,3,71,25,0,0
8,0,250432,69820,17016,427252,0,0,0,0,6810,599,0,79,21,0,0
1,0,250432,69820,17016,427252,0,0,0,0,6561,601,3,78,19,0,0
1,0,250432,69820,17016,427252,0,0,0,0,7371,660,3,81,16,0,0
2,0,250432,69820,17016,427256,0,0,0,0,7450,747,1,84,15,0,0
2,0,250432,69820,17024,427248,0,0,0,16,7838,758,1,86,12,0,0
7,0,250432,69820,17024,427260,0,0,0,0,7121,683,3,85,12,0,0
0,0,250432,69820,17024,427260,0,0,0,16,7354,718,3,86,12,0,0
4,0,250432,69372,17024,427264,0,0,0,0,7605,719,0,88,12,0,0
4,0,250432,69372,17024,427264,0,0,0,0,6974,652,3,80,17,0,0
7,0,250432,69372,17032,427268,0,0,0,16,7613,869,5,87,8,0,0
3,0,250432,69372,17032,427268,0,0,0,0,7649,730,4,85,11,0,0
1,0,250432,67804,17032,427268,0,0,0,0,7567,675,1,85,13,0,0
1,0,250432,67804,17032,427272,0,0,0,0,7572,636,3,81,16,0,0
1,0,250432,67804,17032,427272,0,0,0,0,7543,714,3,82,15,0,0
5,0,250432,67804,17040,427276,0,0,0,16,7514,799,5,84,11,0,0
1,0,250432,67804,17040,427276,0,0,0,0,7472,746,0,89,11,0,0
2,0,250432,67804,17040,427280,0,0,0,0,7248,693,1,84,15,0,0
3,0,250432,67804,17040,427280,0,0,0,0,7574,716,1,88,11,0,0
9,0,250432,67804,17040,427280,20,0,20,0,7162,731,5,84,11,0,0
2,0,250432,67804,17048,427276,0,0,0,16,6996,712,1,83,16,0,0
2,0,250432,67804,17048,427284,0,0,0,0,7351,692,3,85,13,0,0
4,0,250432,67804,17048,427288,0,0,0,0,7445,723,3,84,13,0,0
2,0,250432,67804,17048,427328,0,0,40,0,7362,743,1,87,12,0,0
0,0,250432,67804,17048,427332,0,0,0,0,7418,689,3,81,16,0,0
1,0,250432,67804,17056,427324,0,0,0,28,7406,737,1,83,16,0,0
3,0,250432,67552,17056,427332,0,0,0,0,7534,571,3,69,27,0,0
3,0,250432,63524,17056,431060,12,0,3728,0,4661,806,3,70,15,12,0
0,0,250432,63524,17056,431060,0,0,0,64,3642,721,5,67,28,0,0
1,0,250432,63524,17056,431068,0,0,0,0,3203,565,2,41,57,0,0
0,0,250432,63524,17064,431072,0,0,0,36,2370,627,2,54,44,0,0
1,0,250432,63524,17064,431072,0,0,0,0,2127,537,3,40,56,0,0
0,0,250432,63524,17064,431076,0,0,0,0,3001,605,5,60,35,0,0
0,0,250432,63524,17064,431076,0,0,0,0,3892,617,2,54,43,0,0
