r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
1,0,249008,70408,9936,436336,0,0,0,0,7049,751,5,72,23,0,0
0,0,249008,70408,9936,436336,0,0,0,4,7586,754,1,80,19,0,0
1,0,249008,70408,9936,436340,0,0,0,0,6368,700,2,70,27,0,0
1,0,249008,70408,9936,436344,0,0,0,0,4092,616,2,52,46,0,0
1,0,249008,70408,9944,436348,0,0,0,16,7660,814,3,80,18,0,0
3,0,249008,70408,9944,436348,0,0,0,0,5619,661,2,59,39,0,0
3,0,249008,70408,9944,436352,0,0,0,0,2653,468,4,33,62,0,0
1,0,249008,70408,9944,436356,0,0,0,36,6628,797,3,73,23,0,0
1,0,249008,68168,9944,436356,0,0,0,0,4874,643,2,61,36,0,0
2,0,249008,67916,9952,436360,0,0,0,16,7245,810,5,83,13,0,0
5,0,249008,67916,9952,436364,0,0,0,0,8047,716,4,78,18,0,0
0,0,249008,67916,9952,436368,0,0,0,0,6023,717,3,66,30,0,0
6,0,249008,67916,9952,436368,0,0,0,84,7798,710,3,78,19,0,0
2,0,249008,67916,9952,436376,0,0,0,0,6975,696,2,69,29,0,0
5,0,249008,67916,9952,436376,0,0,0,0,5724,623,4,61,35,0,0
0,0,249008,67916,9960,436380,0,0,0,16,7423,820,3,85,13,0,0
1,0,249008,67916,9960,436380,0,0,0,0,5769,623,1,62,37,0,0
8,0,249008,67916,9960,436384,0,0,0,96,5244,740,14,68,18,0,0
1,0,249008,66124,9960,436388,0,0,0,0,7818,834,5,85,11,0,0
2,0,249008,66124,9960,436392,0,0,0,0,7726,706,3,76,21,0,0
1,0,249008,66124,9968,436396,0,0,0,28,6603,685,2,71,25,1,0
3,0,249008,66124,9968,436404,32,0,32,0,5827,696,5,65,30,0,0
2,0,249008,66124,9968,436404,0,0,0,8,7766,842,3,86,11,0,0
1,0,249008,66124,9968,436408,0,0,0,0,7255,721,4,71,25,0,0
0,0,249008,66124,9968,436412,0,0,0,0,7471,774,2,77,20,0,0
1,0,249008,66124,9976,436412,0,0,0,24,7350,691,4,73,23,0,0
0,0,249008,66124,9976,436416,0,0,0,0,4692,576,2,51,47,0,0
0,0,249008,66124,9976,436420,0,0,0,0,3516,481,2,36,61,0,0
1,0,249008,66124,9976,436424,0,0,0,0,6633,759,4,78,19,0,0
1,0,249008,66124,9976,436428,0,0,0,0,7897,779,4,78,18,0,0
1,0,249008,66124,9984,436428,0,0,0,16,6697,684,4,75,21,0,0
1,0,249008,66124,9984,436432,0,0,0,0,7490,818,11,78,10,0,0
1,0,249008,66124,9984,436500,0,0,64,72,4527,680,4,52,42,2,0
1,0,249008,66124,9984,436500,0,0,0,0,2714,446,0,36,64,0,0
2,0,249008,66124,9984,436504,0,0,0,0,6755,762,4,85,11,0,0
2,0,249008,64108,9992,436508,0,0,0,28,7836,835,2,88,10,0,0
1,0,249008,64108,9992,436512,0,0,0,0,7614,798,1,85,14,0,0
3,0,249008,64108,9992,436516,0,0,0,0,6334,675,1,70,29,0,0
2,0,249008,64108,9992,436516,0,0,0,0,6635,796,2,77,20,0,0
1,0,249008,64108,9992,436520,0,0,0,0,6995,726,2,69,28,0,0
1,0,249008,64108,10000,436524,0,0,0,16,5412,634,2,63,34,1,0
0,0,249008,64108,10000,436524,0,0,0,0,5678,621,1,61,37,0,0
3,0,249008,64108,10000,436528,0,0,0,0,3224,512,0,51,49,0,0
1,0,249008,64108,10000,436532,0,0,0,0,4584,618,5,56,39,0,0
0,0,249008,66524,8904,425136,0,0,0,0,7260,855,2,89,8,0,0
1,0,249008,65852,8912,425112,0,0,0,16,7774,609,0,78,22,0,0
6,2,249008,72372,8880,438944,0,0,13940,0,5192,687,3,69,13,15,0
14,1,249008,74852,8020,425484,0,4,13060,4,6237,1060,0,100,0,0,0
4,0,249264,64384,7972,428796,0,260,5072,260,7157,976,3,91,6,0,0
1,0,249264,64384,7972,428800,0,0,0,0,7092,855,1,85,13,0,0
2,0,249264,64384,7980,428804,0,0,0,16,6850,775,4,68,28,0,0
3,0,249264,64384,7980,428808,0,0,0,0,4875,647,3,59,38,0,0
5,0,249264,64384,7980,428808,0,0,0,0,7201,822,1,89,10,0,0
2,0,249264,64384,7980,428812,0,0,0,0,7617,785,5,84,11,0,0
0,0,249264,64384,7980,428816,0,0,0,0,7076,764,4,83,14,0,0
5,0,249264,64384,7988,428816,0,0,0,16,7361,840,2,85,11,1,0
2,0,249264,64384,7988,428820,0,0,0,0,7795,832,4,87,10,0,0
2,0,249264,64384,7988,428824,0,0,0,0,7821,763,3,84,14,0,0
1,0,249264,64384,7988,428828,0,0,0,0,7705,737,4,83,13,0,0
7,0,249264,64384,7988,428828,0,0,0,0,7687,835,4,84,12,0,0
