r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8
0,0,249768,66876,10596,419492,0,0,0,0,5445,575,2,57,41,0,"-0,319785242","-1,360967612","0,593343149","-0,98792772","0,3174042258","-0,311354613","-0,932005478","0,0209740319"
4,0,249768,66876,10596,419496,0,0,0,104,3516,584,3,48,48,0,"-0,218267411","-0,739978908","0,8550672676","-0,9737603","-0,315398714","0,1373333882","-0,482467911","-1,260412293"
0,0,249768,65756,10596,419612,0,0,112,0,11383,1038,6,86,8,0,"2,8200023782","-1,897320223","-0,134019337","-0,963551278","1,303014677","1,130302901","-0,554651876","0,2226752924"
1,0,249768,65756,10604,419612,0,0,0,44,6126,577,0,51,48,1,"-0,336954841","-1,265390625","0,7820301686","-0,701293817","0,1265268581","-1,06815999","-1,220290732","-0,194565658"
2,0,249768,65756,10604,419616,0,0,0,0,6061,598,1,52,47,0,"-0,102690325","-1,252619525","0,6236085163","-0,758084268","-0,027706693","-0,681320544","-0,981074227","-0,519728119"
0,0,249768,65756,10604,419620,0,0,0,0,4518,547,1,43,56,0,"-0,947692093","-1,320846791","0,8668150597","-1,05616184","0,036290564","-0,668259613","-0,985238073","0,0002443036"
1,0,249768,65756,10604,419624,0,0,0,0,8184,723,2,66,32,0,"0,8525866467","-1,526487579","0,2968797071","-0,76029406","0,4626494982","-0,349817919","-0,985182346","-0,134461075"
0,0,249768,65756,10604,419628,0,0,0,0,3816,526,1,39,60,0,"-1,212589205","-1,266571997","0,9727380342","-1,111534637","-0,05129133","-0,651624369","-0,944133246","-0,033815132"
4,0,249768,65756,10612,419628,0,0,0,16,765,381,0,16,80,3,"-2,159127746","-0,537643178","1,9527949434","-0,687856906","-0,824584716","-0,885206228","-0,859088336","-1,341717325"
2,0,249768,65756,10764,419672,0,0,136,104,2615,571,2,41,53,3,"-0,775081982","-0,853788137","1,6005229487","-0,909552656","-0,043744975","-0,22053274","-0,793722006","-0,660059927"
