r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8
16,0,250432,61664,16524,437032,0,0,0,0,6990,791,17,78,5,0,"4,356859332","0,2510566987","-2,641256479","-1,083829615","5,0589945759","0,7043536242","-1,40163591","0,9689882064"
1,0,250432,61664,16524,437036,0,0,0,0,7214,748,6,83,10,0,"1,9097125282","-0,431702049","-1,084444614","-0,938949252","-0,39907553","-0,603083327","-0,125220974","0,5528348764"
2,0,250432,61160,16808,437220,0,0,371,112,6890,841,3,88,9,0,"1,8246954444","0,1403887155","-0,111233258","-1,114259672","-0,849653867","-0,889867945","0,1245320248","0,2371007303"
2,0,250432,60264,16808,437220,0,0,0,0,7142,678,3,84,14,0,"1,2488011794","-0,538328404","-0,874375575","-0,761966374","-0,744125472","-0,921089824","0,0818659089","0,3691488923"
1,0,250432,60264,16808,437220,0,0,0,216,6755,650,0,85,15,0,"0,9998000715","0,5550182008","0,4784291153","-1,794493032","-1,655664577","-1,16343825","0,5393017554","0,284715958"
0,0,250432,60264,16808,437224,0,0,0,0,6817,590,3,77,20,0,"0,5593829138","-0,478556681","-0,899939924","-0,81746736","-1,051417986","-0,969790543","0,0999422768","0,371425547"
3,0,250432,60264,16808,437224,0,0,0,0,6646,664,1,78,20,0,"0,9052131385","-0,408728509","-0,830269098","-0,73241717","-0,84792759","-0,952802711","0,103224347","0,1581793761"
8,0,250432,60264,16816,437224,0,0,0,76,6907,646,3,84,13,0,"1,8911173054","0,0093148384","-0,737389831","-1,088860857","0,5150496348","-0,660517214","-0,0559631","0,2674456948"
9,0,250432,60264,16816,437224,0,0,0,0,6750,610,2,81,17,0,"1,6518499798","-0,344764273","-1,118240552","-0,689383759","0,6191001415","-0,642112461","-0,142850797","0,1096995571"
1,0,250432,60264,16816,437228,0,0,0,704,6258,671,1,83,16,0,"1,3605788779","3,3066018259","2,7844734513","-4,30406569","-1,65689897","-1,168114888","0,986391206","0,5761876328"
2,0,250432,60264,16816,437228,0,0,0,0,7347,731,1,87,12,0,"1,3398120185","-0,628939497","-0,646499905","-0,688096852","-1,209554938","-1,053131488","0,2324371474","0,2470376359"
4,0,250432,60264,16816,437232,0,0,0,0,7282,731,1,87,12,0,"1,55400882","-0,575578222","-0,727464802","-0,670679936","-0,780354964","-0,963264704","0,1560334555","0,1987312219"
1,0,250432,60264,16824,437232,0,0,0,24,7912,782,3,83,13,1,"1,474876146","-0,396086781","-0,6467496","-0,830797526","-1,082766105","-0,93924","0,1328141804","0,4445335381"
1,0,250432,60264,16824,437240,0,0,0,0,7283,728,3,86,11,0,"1,3290115033","-0,595510733","-0,782885143","-0,739432535","-1,003682454","-0,982155386","0,1387284491","0,4124033929"
2,0,250432,67384,16824,432804,0,0,0,0,7488,700,3,88,9,0,"1,4230129639","-1,093588255","0,0140762994","-0,3590751","-0,528844236","0,3753753568","0,1328621109","-0,058349343"
2,0,250432,65592,16824,432804,0,0,0,0,7240,617,3,77,20,0,"0,8293544677","-0,853837813","-0,33944505","-0,569807528","-0,467653337","0,2203938905","0,0472924177","-0,048810821"
3,0,250432,65592,16824,432808,0,0,0,0,7433,713,1,84,14,0,"1,2715643335","-0,964740824","-0,104762555","-0,468291186","-0,7824332","0,1136630916","0,184463226","-0,166975172"
0,0,250432,65592,16832,432808,0,0,0,16,7639,797,4,86,9,1,"1,4603185807","-0,845560902","-0,101366252","-0,575304273","-0,935067016","0,1725604826","0,1123032592","0,183185378"
1,0,250432,65592,16832,432812,0,0,0,0,7828,743,3,84,13,0,"1,309161927","-0,99907742","-0,167481893","-0,527839066","-0,827501336","0,1276185442","0,1496858948","0,0268496652"
1,0,250432,65592,16832,432812,0,0,0,0,7156,631,1,79,19,0,"0,6450467849","-0,939108283","-0,104981118","-0,510693002","-1,10828801","0,0546428281","0,2188994142","-0,155408735"
2,0,250432,65592,16832,432812,0,0,0,0,7800,772,4,83,13,0,"1,5215544316","-0,921405399","-0,296190306","-0,545103287","-0,411416007","0,2316031867","0,039132658","0,068537728"
