elapsed,label,bytes,sentBytes,Latency,Cluster
938,HTTP Request 30,7437349,167,10,5
194,HTTP Request 23,1312272,167,9,4
1003,HTTP Request 30,7437349,167,10,5
100,HTTP Request 28,900441,167,9,4
156,HTTP Request 23,1312272,167,10,2
2186,HTTP Request 24,10987916,167,14,5
401,HTTP Request 22,1317099,167,26,1
527,HTTP Request 26,3013662,167,16,2
243,HTTP Request 25,1348072,167,11,2
293,HTTP Request 29,2437886,167,9,2
225,HTTP Request 23,1312272,167,17,2
987,HTTP Request 30,7437349,167,14,5
204,HTTP Request 28,900441,167,17,2
158,HTTP Request 25,1348072,167,14,2
27,HTTP Request 21,245478,166,12,3
447,HTTP Request 26,3013662,167,11,2
147,HTTP Request 23,1312272,167,11,2
517,HTTP Request 27,3819263,167,13,2
955,HTTP Request 30,7437349,167,12,5
1193,HTTP Request 30,7437349,167,15,5
142,HTTP Request 23,1312272,167,18,2
112,HTTP Request 28,900441,167,16,2
50,HTTP Request 21,245478,166,18,2
215,HTTP Request 22,1317099,167,25,1
1557,HTTP Request 24,10987916,167,15,5
48,HTTP Request 21,245478,166,22,2
222,HTTP Request 25,1348072,167,11,2
44,HTTP Request 21,245478,166,8,3
52,HTTP Request 21,245478,166,11,3
1672,HTTP Request 24,10987916,167,13,5
791,HTTP Request 24,10987916,167,13,5
356,HTTP Request 26,3013662,167,12,2
114,HTTP Request 22,1317099,167,8,4
790,HTTP Request 24,10987916,167,22,5
96,HTTP Request 25,1348072,167,12,2
476,HTTP Request 27,3819263,167,13,2
133,HTTP Request 28,900441,167,12,2
349,HTTP Request 26,3013662,167,9,2
668,HTTP Request 30,7437349,167,10,5
786,HTTP Request 30,7437349,167,18,5
275,HTTP Request 26,3013662,167,11,2
483,HTTP Request 27,3819263,167,10,2
45,HTTP Request 21,245478,166,14,3
165,HTTP Request 25,1348072,167,12,2
219,HTTP Request 25,1348072,167,11,2
96,HTTP Request 21,245478,166,14,3
69,HTTP Request 21,245478,166,11,3
432,HTTP Request 29,2437886,167,14,2
244,HTTP Request 22,1317099,167,11,2
340,HTTP Request 29,2437886,167,11,2
119,HTTP Request 25,1348072,167,11,2
481,HTTP Request 29,2437886,167,15,2
932,HTTP Request 30,7437349,167,13,5
32,HTTP Request 21,245478,166,8,3
32,HTTP Request 21,245478,166,12,3
135,HTTP Request 23,1312272,167,16,2
482,HTTP Request 30,7437349,167,11,5
77,HTTP Request 28,900441,167,13,2
1246,HTTP Request 24,10987916,167,12,5
1213,HTTP Request 24,10987916,167,10,5
41,HTTP Request 28,900441,167,7,4
40,HTTP Request 21,245478,166,7,3
66,HTTP Request 28,900441,167,15,2
77,HTTP Request 28,900441,167,11,2
370,HTTP Request 30,7437349,167,17,5
96,HTTP Request 26,3013662,167,11,2
889,HTTP Request 24,10987916,167,12,5
44,HTTP Request 22,1317099,167,2,4
44,HTTP Request 28,900441,167,6,4
55,HTTP Request 23,1312272,167,4,4
141,HTTP Request 27,3819263,167,6,4
46,HTTP Request 25,1348072,167,10,2
61,HTTP Request 25,1348072,167,6,4
233,HTTP Request 30,7437349,167,3,5
90,HTTP Request 29,2437886,167,9,4
92,HTTP Request 27,3819263,167,8,4
65,HTTP Request 29,2437886,167,8,4
6,HTTP Request 21,245478,166,2,4
122,HTTP Request 22,1317099,167,11,2
148,HTTP Request 26,3013662,167,18,2
164,HTTP Request 23,1312272,167,10,2
61,HTTP Request 21,245478,166,12,3
280,HTTP Request 29,2437886,167,6,4
241,HTTP Request 22,1317099,167,10,2
163,HTTP Request 28,900441,167,9,4
317,HTTP Request 26,3013662,167,24,1
152,HTTP Request 22,1317099,167,13,2
257,HTTP Request 29,2437886,167,11,2
292,HTTP Request 29,2437886,167,12,2
421,HTTP Request 26,3013662,167,10,2
376,HTTP Request 29,2437886,167,10,2
241,HTTP Request 26,3013662,167,14,2
116,HTTP Request 28,900441,167,9,4
832,HTTP Request 24,10987916,167,4,5
35,HTTP Request 21,245478,166,12,3
901,HTTP Request 24,10987916,167,2,5
731,HTTP Request 30,7437349,167,15,5
44,HTTP Request 21,245478,166,10,3
56,HTTP Request 21,245478,166,17,2
134,HTTP Request 29,2437886,167,10,2
60,HTTP Request 28,900441,167,4,4
90,HTTP Request 25,1348072,167,8,4
157,HTTP Request 23,1312272,167,9,4
694,HTTP Request 24,10987916,167,16,5
27,HTTP Request 21,245478,166,9,3
242,HTTP Request 26,3013662,167,13,2
903,HTTP Request 24,10987916,167,10,5
90,HTTP Request 22,1317099,167,10,2
26,HTTP Request 21,245478,166,15,2
106,HTTP Request 22,1317099,167,7,4
100,HTTP Request 28,900441,167,8,4
92,HTTP Request 25,1348072,167,8,4
185,HTTP Request 29,2437886,167,12,2
541,HTTP Request 30,7437349,167,8,5
93,HTTP Request 23,1312272,167,12,2
105,HTTP Request 22,1317099,167,7,4
520,HTTP Request 24,10987916,167,12,5
631,HTTP Request 30,7437349,167,19,5
679,HTTP Request 24,10987916,167,13,5
108,HTTP Request 28,900441,167,27,1
212,HTTP Request 29,2437886,167,29,1
295,HTTP Request 27,3819263,167,29,1
164,HTTP Request 22,1317099,167,11,2
119,HTTP Request 28,900441,167,11,2
284,HTTP Request 29,2437886,167,8,4
414,HTTP Request 27,3819263,167,9,2
187,HTTP Request 22,1317099,167,18,2
417,HTTP Request 27,3819263,167,12,2
192,HTTP Request 22,1317099,167,19,2
235,HTTP Request 22,1317099,167,10,2
465,HTTP Request 27,3819263,167,16,2
197,HTTP Request 25,1348072,167,16,2
99,HTTP Request 28,900441,167,18,2
170,HTTP Request 23,1312272,167,14,2
382,HTTP Request 27,3819263,167,13,2
179,HTTP Request 27,3819263,167,9,2
459,HTTP Request 30,7437349,167,17,5
64,HTTP Request 28,900441,167,12,2
551,HTTP Request 24,10987916,167,37,1
65,HTTP Request 28,900441,167,9,4
89,HTTP Request 28,900441,167,9,4
225,HTTP Request 26,3013662,167,8,4
225,HTTP Request 27,3819263,167,6,4
122,HTTP Request 22,1317099,167,11,2
207,HTTP Request 26,3013662,167,8,4
134,HTTP Request 23,1312272,167,9,4
473,HTTP Request 30,7437349,167,8,5
