elapsed,label,bytes,sentBytes,Latency,Cluster
315,HTTP Request 27,3819263,167,7,4
157,HTTP Request 23,1312272,167,10,2
294,HTTP Request 29,2437886,167,24,1
238,HTTP Request 23,1312272,167,13,2
248,HTTP Request 22,1317099,167,11,2
440,HTTP Request 30,7437349,167,9,5
322,HTTP Request 26,3013662,167,14,2
106,HTTP Request 28,900441,167,12,2
766,HTTP Request 24,10987916,167,10,5
66,HTTP Request 28,900441,167,7,4
287,HTTP Request 27,3819263,167,19,2
135,HTTP Request 25,1348072,167,10,2
120,HTTP Request 28,900441,167,12,2
802,HTTP Request 24,10987916,167,19,5
703,HTTP Request 24,10987916,167,12,5
759,HTTP Request 30,7437349,167,9,5
337,HTTP Request 29,2437886,167,21,2
152,HTTP Request 22,1317099,167,14,2
199,HTTP Request 25,1348072,167,11,2
551,HTTP Request 29,2437886,167,13,2
369,HTTP Request 29,2437886,167,13,2
324,HTTP Request 29,2437886,167,7,4
288,HTTP Request 25,1348072,167,13,2
447,HTTP Request 29,2437886,167,11,2
522,HTTP Request 27,3819263,167,11,2
507,HTTP Request 26,3013662,167,12,2
668,HTTP Request 30,7437349,167,11,5
1007,HTTP Request 24,10987916,167,9,5
1136,HTTP Request 24,10987916,167,13,5
729,HTTP Request 30,7437349,167,23,5
849,HTTP Request 24,10987916,167,11,5
96,HTTP Request 37,797247,167,30,1
90,HTTP Request 40,1139976,167,2,4
141,HTTP Request 40,1139977,167,39,6
64,HTTP Request 37,797246,167,8,4
276,HTTP Request 39,1598287,167,49,6
157,HTTP Request 32,275344,167,50,6
59,HTTP Request 39,1598287,167,8,4
127,HTTP Request 33,760651,167,44,6
96,HTTP Request 34,86588,167,81,6
161,HTTP Request 40,1139976,167,16,2
14,HTTP Request 32,275343,167,6,4
144,HTTP Request 40,1139977,167,23,2
125,HTTP Request 37,797247,167,25,1
